,group,recommend,typeNames,method,location,overallScore
7,Triggerfish,AVOID,"Triggerfish, Queen                         Bluestriped Triggerfish, Cocino, Old Wench, Old Wife, Triggerfish, Turbot",Pots,"U.S. - Puerto Rico, Western Central Atlantic Ocean",1.5319999999999998
8,Triggerfish,AVOID,"Triggerfish, Queen                         Bluestriped Triggerfish, Cocino, Old Wench, Old Wife, Triggerfish, Turbot",Set longlines,"U.S. - Puerto Rico, Western Central Atlantic Ocean",1.5319999999999998
0,Trout,BEST CHOICE,"Trout, Lake Great Lakes Trout, Grey Trout, Lake Char/Charr, Laker, Mackinaw, Mountain Trout, Namaycush, Salmon Trout, Togue, Touladi, Trout",Set gillnets,"U.S. - Minnesota, North America - Inland waters: Lake Superior",3.303
1,Trout,BEST CHOICE,"Trout, Lake Great Lakes Trout, Grey Trout, Lake Char/Charr, Laker, Mackinaw, Mountain Trout, Namaycush, Salmon Trout, Togue, Touladi, Trout","Barriers, fences, weirs, corrals, etc.","U.S. - Minnesota, North America - Inland waters: Lake Superior",3.66
2,Trout,BEST CHOICE,"Trout, Rainbow Steelhead Trout, Steelhead, Trout",Outdoor flowthrough raceway,U.S.,6.72
3,Trout,BEST CHOICE,"Trout, Rainbow Steelhead Trout, Steelhead, Trout",Ponds,U.S.,6.72
4,Trout,BEST CHOICE,"Trout, Rainbow Steelhead Trout, Steelhead, Trout",Freshwater net pen,U.S.,6.71
5,Trout,BEST CHOICE,"Trout, Rainbow Steelhead Trout, Steelhead, Trout",Indoor recirculating tank (with wastewater treatment),Worldwide,6.91
6,Trout,GOOD ALTERNATIVE,"Trout, Lake Great Lakes Trout, Grey Trout, Lake Char/Charr, Laker, Mackinaw, Mountain Trout, Namaycush, Salmon Trout, Togue, Touladi, Trout",Set gillnets,"U.S. - Michigan, North America - Inland waters: Lake Superior",2.967
7,Trout,GOOD ALTERNATIVE,"Trout, Lake Great Lakes Trout, Grey Trout, Lake Char/Charr, Laker, Mackinaw, Mountain Trout, Namaycush, Salmon Trout, Togue, Touladi, Trout",Set gillnets,"U.S. - Michigan, North America - Inland waters: Lake Michigan",2.937
8,Trout,GOOD ALTERNATIVE,"Trout, Lake Great Lakes Trout, Grey Trout, Lake Char/Charr, Laker, Mackinaw, Mountain Trout, Namaycush, Salmon Trout, Togue, Touladi, Trout",Set gillnets,U.S. - North America - Inland waters: Lake Huron,2.775
9,Trout,GOOD ALTERNATIVE,"Trout, Lake Great Lakes Trout, Grey Trout, Lake Char/Charr, Laker, Mackinaw, Mountain Trout, Namaycush, Salmon Trout, Togue, Touladi, Trout","Barriers, fences, weirs, corrals, etc.",Canada - North America - Inland waters: Lake Huron,2.9189999999999996
10,Trout,GOOD ALTERNATIVE,"Trout, Lake Great Lakes Trout, Grey Trout, Lake Char/Charr, Laker, Mackinaw, Mountain Trout, Namaycush, Salmon Trout, Togue, Touladi, Trout","Barriers, fences, weirs, corrals, etc.",U.S. - North America - Inland waters: Lake Huron,2.775
11,Trout,GOOD ALTERNATIVE,"Trout, Lake Great Lakes Trout, Grey Trout, Lake Char/Charr, Laker, Mackinaw, Mountain Trout, Namaycush, Salmon Trout, Togue, Touladi, Trout","Barriers, fences, weirs, corrals, etc.","U.S. - Michigan, North America - Inland waters: Lake Michigan",2.937
12,Trout,GOOD ALTERNATIVE,"Trout, Lake Great Lakes Trout, Grey Trout, Lake Char/Charr, Laker, Mackinaw, Mountain Trout, Namaycush, Salmon Trout, Togue, Touladi, Trout",Set gillnets,Canada - North America - Inland waters: Lake Huron,2.9189999999999996
13,Trout,GOOD ALTERNATIVE,"Trout, Lake Great Lakes Trout, Grey Trout, Lake Char/Charr, Laker, Mackinaw, Mountain Trout, Namaycush, Salmon Trout, Togue, Touladi, Trout","Barriers, fences, weirs, corrals, etc.","U.S. - Michigan, North America - Inland waters: Lake Superior",2.967
14,Trout,GOOD ALTERNATIVE,"Trout, Lake Great Lakes Trout, Grey Trout, Lake Char/Charr, Laker, Mackinaw, Mountain Trout, Namaycush, Salmon Trout, Togue, Touladi, Trout",Set gillnets,Canada - North America - Inland waters: Lake Superior,2.6689999999999996
15,Trout,GOOD ALTERNATIVE,"Trout, Rainbow Steelhead Trout, Steelhead, Trout",Marine net pen,Chile,3.81
16,Trout,GOOD ALTERNATIVE,"Trout, Rainbow Steelhead Trout, Steelhead, Trout",Raceways,Canada,6.3
17,Trout,GOOD ALTERNATIVE,"Trout, Rainbow Steelhead Trout, Steelhead, Trout",Freshwater net pen,Canada,5.33
18,Trout,GOOD ALTERNATIVE,"Trout, Rainbow Steelhead Trout, Steelhead, Trout",Tanks,Canada,6.3
19,Trout,GOOD ALTERNATIVE,"Trout, Rainbow Steelhead Trout, Steelhead, Trout",Gillnets and entangling nets (unspecified),"U.S. - Washington, North America - Inland waters: Quinault River",2.3
20,Trout,GOOD ALTERNATIVE,"Trout, Rainbow Steelhead Trout, Steelhead, Trout",Gillnets and entangling nets (unspecified),"U.S. - Washington, North America - Inland waters: Humptulips River",2.51
21,Trout,GOOD ALTERNATIVE,"Trout, Rainbow Steelhead Trout, Steelhead, Trout",Gillnets and entangling nets (unspecified),"U.S. - Washington, North America - Inland waters: Quilayute River",2.94
22,Trout,GOOD ALTERNATIVE,"Trout, Rainbow Steelhead Trout, Steelhead, Trout",Gillnets and entangling nets (unspecified),"U.S. - Washington, North America - Inland waters: Queets River",2.3
23,Trout,GOOD ALTERNATIVE,"Trout, Rainbow Steelhead Trout, Steelhead, Trout",Indoor recirculating tank (without wastewater treatment),Worldwide,6.63
24,Trout,AVOID,"Trout, Lake Great Lakes Trout, Grey Trout, Lake Char/Charr, Laker, Mackinaw, Mountain Trout, Namaycush, Salmon Trout, Togue, Touladi, Trout","Barriers, fences, weirs, corrals, etc.","U.S. - Wisconsin, North America - Inland waters: Lake Superior",2.386
25,Trout,AVOID,"Trout, Lake Great Lakes Trout, Grey Trout, Lake Char/Charr, Laker, Mackinaw, Mountain Trout, Namaycush, Salmon Trout, Togue, Touladi, Trout",Set gillnets,"U.S. - Wisconsin, North America - Inland waters: Lake Superior",2.386
26,Trout,AVOID,"Trout, Rainbow Steelhead Trout, Steelhead, Trout",Outdoor flowthrough raceway,Colombia,4.62
27,Trout,AVOID,"Trout, Rainbow Steelhead Trout, Steelhead, Trout",Freshwater net pen,Colombia,3.62
28,Trout,AVOID,"Trout, Rainbow Steelhead Trout, Steelhead, Trout",Gillnets and entangling nets (unspecified),"U.S. - Washington, North America - Inland waters: Chehalis River",2.384
29,Trout,AVOID,"Trout, Rainbow Steelhead Trout, Steelhead, Trout",Gillnets and entangling nets (unspecified),"U.S. - Washington, North America - Inland waters: Hoh River",2.187
30,Trout,,"Trout, Brook",Ponds,Naturland Farmed Freshwater Fishes (Worldwide),10.0
31,Trout,,"Trout, Brook",Net cages,Naturland Farmed Freshwater Fishes (Worldwide),10.0
32,Trout,,"Trout, Brown",Net cages,Naturland Farmed Freshwater Fishes (Worldwide),10.0
33,Trout,,"Trout, Brown",Ponds,Naturland Farmed Freshwater Fishes (Worldwide),10.0
34,Trout,,"Trout, Brown",All production methods,Aquaculture Stewardship Council Certified Salmon Farms (Worldwide),10.0
35,Trout,,"Trout, Rainbow             Steelhead Trout, Steelhead, Trout",Net cages,Naturland Farmed Freshwater Fishes (Worldwide),10.0
36,Trout,,"Trout, Rainbow             Steelhead Trout, Steelhead, Trout",Ponds,Naturland Farmed Freshwater Fishes (Worldwide),10.0
37,Trout,,"Trout, Rainbow             Steelhead Trout, Steelhead, Trout",All production methods,Aquaculture Stewardship Council Certified Salmon Farms (Worldwide),10.0
0,Tuna,BEST CHOICE,"Tuna, Albacore Canned White Tuna, Germon, Longfinned Tuna, Maguro, Tombo, Tombo Ahi, Tuna",Trolling lines,North Atlantic Ocean (North Atlantic stock),4.436
1,Tuna,BEST CHOICE,"Tuna, Albacore Canned White Tuna, Germon, Longfinned Tuna, Maguro, Tombo, Tombo Ahi, Tuna",Trolling lines,U.S. - North Pacific Ocean,3.971
2,Tuna,BEST CHOICE,"Tuna, Albacore Canned White Tuna, Germon, Longfinned Tuna, Maguro, Tombo, Tombo Ahi, Tuna",Trolling lines,Japan - North Pacific Ocean,3.971
3,Tuna,BEST CHOICE,"Tuna, Albacore Canned White Tuna, Germon, Longfinned Tuna, Maguro, Tombo, Tombo Ahi, Tuna",Trolling lines,South Pacific Ocean,3.971
4,Tuna,BEST CHOICE,"Tuna, Albacore Canned White Tuna, Germon, Longfinned Tuna, Maguro, Tombo, Tombo Ahi, Tuna",Trolling lines,Canada - Northeast Pacific Ocean,4.117
5,Tuna,BEST CHOICE,"Tuna, Albacore Canned White Tuna, Germon, Longfinned Tuna, Maguro, Tombo, Tombo Ahi, Tuna",Handlines and hand-operated pole-and-lines,Japan - North Pacific Ocean,3.971
6,Tuna,BEST CHOICE,"Tuna, Albacore Canned White Tuna, Germon, Longfinned Tuna, Maguro, Tombo, Tombo Ahi, Tuna",Handlines and hand-operated pole-and-lines,North Atlantic Ocean (North Atlantic stock),4.268
7,Tuna,BEST CHOICE,"Tuna, Albacore Canned White Tuna, Germon, Longfinned Tuna, Maguro, Tombo, Tombo Ahi, Tuna",Hand-operated pole-and-lines,South Pacific Ocean,3.971
8,Tuna,BEST CHOICE,"Tuna, Albacore Canned White Tuna, Germon, Longfinned Tuna, Maguro, Tombo, Tombo Ahi, Tuna",Handlines and hand-operated pole-and-lines,U.S. - North Pacific Ocean,3.971
9,Tuna,BEST CHOICE,"Tuna, Skipjack Aku, Canned Light Tuna, Katsuo, Lesser Tuna, Maguro, Ocean Bonito, Tuna",Trolling lines,East Pacific Ocean,3.313
10,Tuna,BEST CHOICE,"Tuna, Skipjack Aku, Canned Light Tuna, Katsuo, Lesser Tuna, Maguro, Ocean Bonito, Tuna",Trolling lines,Western and Central Pacific Ocean,3.971
11,Tuna,BEST CHOICE,"Tuna, Skipjack Aku, Canned Light Tuna, Katsuo, Lesser Tuna, Maguro, Ocean Bonito, Tuna",Hand-operated pole-and-lines,East Pacific Ocean,3.313
12,Tuna,BEST CHOICE,"Tuna, Yellowfin Ahi, Canned Light Tuna, Maguro, Tuna",Trolling lines,Western and Central Pacific Ocean,3.971
13,Tuna,BEST CHOICE,"Tuna, Yellowfin Ahi, Canned Light Tuna, Maguro, Tuna",Handlines and hand-operated pole-and-lines,Western and Central Pacific Ocean,3.752
14,Tuna,GOOD ALTERNATIVE,"Tuna, Albacore Canned White Tuna, Germon, Longfinned Tuna, Maguro, Tombo, Tombo Ahi, Tuna",Trolling lines,South Atlantic Ocean (South Atlantic stock),2.656
15,Tuna,GOOD ALTERNATIVE,"Tuna, Albacore Canned White Tuna, Germon, Longfinned Tuna, Maguro, Tombo, Tombo Ahi, Tuna",Handlines and hand-operated pole-and-lines,South Atlantic Ocean (South Atlantic stock),2.656
16,Tuna,GOOD ALTERNATIVE,"Tuna, Albacore Canned White Tuna, Germon, Longfinned Tuna, Maguro, Tombo, Tombo Ahi, Tuna",Drift gillnets,"U.S. - California, Eastern Central Pacific Ocean",2.55
17,Tuna,GOOD ALTERNATIVE,"Tuna, Albacore Canned White Tuna, Germon, Longfinned Tuna, Maguro, Tombo, Tombo Ahi, Tuna",Longline (deep-set),"U.S. - Hawaii, Eastern Central Pacific, (including vessels landing in California)",2.964
18,Tuna,GOOD ALTERNATIVE,"Tuna, Albacore Canned White Tuna, Germon, Longfinned Tuna, Maguro, Tombo, Tombo Ahi, Tuna",Longline (deep-set),"U.S. - Hawaii, Western Central Pacific Ocean",2.96
19,Tuna,GOOD ALTERNATIVE,"Tuna, Albacore Canned White Tuna, Germon, Longfinned Tuna, Maguro, Tombo, Tombo Ahi, Tuna",Drifting longlines,U.S. - Atlantic Ocean (North Atlantic stock),2.76
20,Tuna,GOOD ALTERNATIVE,"Tuna, Atlantic Bluefin Bluefin Tuna, Giant Bluefin Tuna, Hon Maguro, Maguro, Northern Bluefin Tuna, Toro, Tuna, Tunny",Unassociated purse seine (non-FAD),West Atlantic Ocean (Western Atlantic stock),2.509
21,Tuna,GOOD ALTERNATIVE,"Tuna, Atlantic Bluefin Bluefin Tuna, Giant Bluefin Tuna, Hon Maguro, Maguro, Northern Bluefin Tuna, Toro, Tuna, Tunny",Drifting longlines,U.S. - Atlantic Ocean (Western Atlantic stock),2.2569999999999997
22,Tuna,GOOD ALTERNATIVE,"Tuna, Atlantic Bluefin Bluefin Tuna, Giant Bluefin Tuna, Hon Maguro, Maguro, Northern Bluefin Tuna, Toro, Tuna, Tunny",Handlines,Northwest Atlantic Ocean (Western Atlantic stock),3.3760000000000003
23,Tuna,GOOD ALTERNATIVE,"Tuna, Atlantic Bluefin Bluefin Tuna, Giant Bluefin Tuna, Hon Maguro, Maguro, Northern Bluefin Tuna, Toro, Tuna, Tunny",Harpoons,Northwest Atlantic Ocean (Western Atlantic stock),3.5980000000000003
24,Tuna,GOOD ALTERNATIVE,"Tuna, Bigeye Ahi, Maguro, Tuna",Longline (deep-set),"U.S. - Hawaii, Eastern Central Pacific Ocean (including vessels landing in California)",2.964
25,Tuna,GOOD ALTERNATIVE,"Tuna, Bigeye Ahi, Maguro, Tuna",Longline (deep-set),"U.S. - Hawaii, Western Central Pacific Ocean",2.96
26,Tuna,GOOD ALTERNATIVE,"Tuna, Bigeye Ahi, Maguro, Tuna",Handlines and hand-operated pole-and-lines,East Atlantic Ocean (Atlantic stock),2.656
27,Tuna,GOOD ALTERNATIVE,"Tuna, Bigeye Ahi, Maguro, Tuna",Trolling lines,West Atlantic Ocean (Atlantic stock),2.354
28,Tuna,GOOD ALTERNATIVE,"Tuna, Bigeye Ahi, Maguro, Tuna",Trolling lines,East Atlantic Ocean (Atlantic stock),2.656
29,Tuna,GOOD ALTERNATIVE,"Tuna, Bigeye Ahi, Maguro, Tuna",Handlines and hand-operated pole-and-lines,West Atlantic Ocean (Atlantic stock),2.354
30,Tuna,GOOD ALTERNATIVE,"Tuna, Blackfin Deep-Bodied Tunny, Maguro, Tuna",Handlines and hand-operated pole-and-lines,West Atlantic Ocean,2.354
31,Tuna,GOOD ALTERNATIVE,"Tuna, Blackfin Deep-Bodied Tunny, Maguro, Tuna",Trolling lines,West Atlantic Ocean,2.354
32,Tuna,GOOD ALTERNATIVE,"Tuna, Longtail Oriental Bonito, Maguro, Tongol Tuna, Tuna",Hand-operated pole-and-lines,Indonesia - Western Central Pacific Ocean,3.022
33,Tuna,GOOD ALTERNATIVE,"Tuna, Longtail Oriental Bonito, Maguro, Tongol Tuna, Tuna",Unassociated purse seine (non-FAD),Malaysia - Western Central Pacific Ocean,2.8510000000000004
34,Tuna,GOOD ALTERNATIVE,"Tuna, Longtail Oriental Bonito, Maguro, Tongol Tuna, Tuna",Trolling lines,Indonesia - Western Central Pacific Ocean,3.022
35,Tuna,GOOD ALTERNATIVE,"Tuna, Longtail Oriental Bonito, Maguro, Tongol Tuna, Tuna",Unassociated purse seine (non-FAD),Thailand - Western Central Pacific Ocean,2.8510000000000004
36,Tuna,GOOD ALTERNATIVE,"Tuna, Skipjack Aku, Canned Light Tuna, Katsuo, Lesser Tuna, Maguro, Ocean Bonito, Tuna",Unassociated purse seine (non-FAD),East Pacific Ocean,2.8160000000000003
37,Tuna,GOOD ALTERNATIVE,"Tuna, Skipjack Aku, Canned Light Tuna, Katsuo, Lesser Tuna, Maguro, Ocean Bonito, Tuna",Hand-operated pole-and-lines,Indian Ocean,3.0069999999999997
38,Tuna,GOOD ALTERNATIVE,"Tuna, Skipjack Aku, Canned Light Tuna, Katsuo, Lesser Tuna, Maguro, Ocean Bonito, Tuna",Handlines and hand-operated pole-and-lines,West Atlantic Ocean (Western Atlantic stock),2.491
39,Tuna,GOOD ALTERNATIVE,"Tuna, Skipjack Aku, Canned Light Tuna, Katsuo, Lesser Tuna, Maguro, Ocean Bonito, Tuna",Unassociated purse seine (non-FAD),Indian Ocean,3.01
40,Tuna,GOOD ALTERNATIVE,"Tuna, Skipjack Aku, Canned Light Tuna, Katsuo, Lesser Tuna, Maguro, Ocean Bonito, Tuna",Unassociated purse seine (non-FAD),West Atlantic Ocean (Western Atlantic stock),2.7689999999999997
41,Tuna,GOOD ALTERNATIVE,"Tuna, Skipjack Aku, Canned Light Tuna, Katsuo, Lesser Tuna, Maguro, Ocean Bonito, Tuna",Dolphin set purse seine,East Pacific Ocean,3.1310000000000002
42,Tuna,GOOD ALTERNATIVE,"Tuna, Skipjack Aku, Canned Light Tuna, Katsuo, Lesser Tuna, Maguro, Ocean Bonito, Tuna",Longline (deep-set),"U.S. - Hawaii, Eastern Central Pacific Ocean (including vessels landing in California)",2.964
43,Tuna,GOOD ALTERNATIVE,"Tuna, Skipjack Aku, Canned Light Tuna, Katsuo, Lesser Tuna, Maguro, Ocean Bonito, Tuna",Unassociated purse seine (non-FAD),Western and Central Pacific Ocean,2.76
44,Tuna,GOOD ALTERNATIVE,"Tuna, Skipjack Aku, Canned Light Tuna, Katsuo, Lesser Tuna, Maguro, Ocean Bonito, Tuna",Longline (deep-set),"U.S. - Hawaii, Western Central Pacific Ocean",3.1639999999999997
45,Tuna,GOOD ALTERNATIVE,"Tuna, Skipjack Aku, Canned Light Tuna, Katsuo, Lesser Tuna, Maguro, Ocean Bonito, Tuna",Trolling lines,Indian Ocean,3.0069999999999997
46,Tuna,GOOD ALTERNATIVE,"Tuna, Skipjack Aku, Canned Light Tuna, Katsuo, Lesser Tuna, Maguro, Ocean Bonito, Tuna",Trolling lines,West Atlantic Ocean (Western Atlantic stock),2.491
47,Tuna,GOOD ALTERNATIVE,"Tuna, Skipjack Aku, Canned Light Tuna, Katsuo, Lesser Tuna, Maguro, Ocean Bonito, Tuna",Trolling lines,East Atlantic Ocean (Eastern Atlantic stock),2.656
48,Tuna,GOOD ALTERNATIVE,"Tuna, Skipjack Aku, Canned Light Tuna, Katsuo, Lesser Tuna, Maguro, Ocean Bonito, Tuna",Unassociated purse seine (non-FAD),East Atlantic Ocean (Eastern Atlantic stock),2.656
49,Tuna,GOOD ALTERNATIVE,"Tuna, Skipjack Aku, Canned Light Tuna, Katsuo, Lesser Tuna, Maguro, Ocean Bonito, Tuna",Handlines and hand-operated pole-and-lines,East Atlantic Ocean (Eastern Atlantic stock),2.656
50,Tuna,GOOD ALTERNATIVE,"Tuna, Yellowfin Ahi, Canned Light Tuna, Maguro, Tuna",Hand-operated pole-and-lines,East Pacific Ocean,3.0380000000000003
51,Tuna,GOOD ALTERNATIVE,"Tuna, Yellowfin Ahi, Canned Light Tuna, Maguro, Tuna",Unassociated purse seine (non-FAD),West Atlantic Ocean (Atlantic stock),2.952
52,Tuna,GOOD ALTERNATIVE,"Tuna, Yellowfin Ahi, Canned Light Tuna, Maguro, Tuna",Unassociated purse seine (non-FAD),East Pacific Ocean,2.582
53,Tuna,GOOD ALTERNATIVE,"Tuna, Yellowfin Ahi, Canned Light Tuna, Maguro, Tuna",Hand-operated pole-and-lines,Indian Ocean,2.563
54,Tuna,GOOD ALTERNATIVE,"Tuna, Yellowfin Ahi, Canned Light Tuna, Maguro, Tuna",Handlines and hand-operated pole-and-lines,West Atlantic Ocean (Atlantic stock),2.656
55,Tuna,GOOD ALTERNATIVE,"Tuna, Yellowfin Ahi, Canned Light Tuna, Maguro, Tuna",Dolphin set purse seine,East Pacific Ocean,2.8710000000000004
56,Tuna,GOOD ALTERNATIVE,"Tuna, Yellowfin Ahi, Canned Light Tuna, Maguro, Tuna",Longline (deep-set),"U.S. - Hawaii, Western Central Pacific Ocean",3.1639999999999997
57,Tuna,GOOD ALTERNATIVE,"Tuna, Yellowfin Ahi, Canned Light Tuna, Maguro, Tuna",Unassociated purse seine (non-FAD),Western and Central Pacific Ocean,2.76
58,Tuna,GOOD ALTERNATIVE,"Tuna, Yellowfin Ahi, Canned Light Tuna, Maguro, Tuna",Longline (deep-set),"U.S. - Hawaii, Eastern Central Pacific Ocean (including vessels landing in California)",2.718
59,Tuna,GOOD ALTERNATIVE,"Tuna, Yellowfin Ahi, Canned Light Tuna, Maguro, Tuna",Drifting longlines,U.S. - Atlantic Ocean (Atlantic stock),2.656
60,Tuna,GOOD ALTERNATIVE,"Tuna, Yellowfin Ahi, Canned Light Tuna, Maguro, Tuna",Trolling lines,West Atlantic Ocean (Atlantic stock),2.656
61,Tuna,GOOD ALTERNATIVE,"Tuna, Yellowfin Ahi, Canned Light Tuna, Maguro, Tuna",Trolling lines,Indian Ocean,2.563
62,Tuna,GOOD ALTERNATIVE,"Tuna, Yellowfin Ahi, Canned Light Tuna, Maguro, Tuna",Drifting longlines,U.S. - Gulf of Mexico (Atlantic stock),2.656
63,Tuna,GOOD ALTERNATIVE,"Tuna, Yellowfin Ahi, Canned Light Tuna, Maguro, Tuna",Handlines and hand-operated pole-and-lines,East Atlantic Ocean (Atlantic stock),2.656
64,Tuna,GOOD ALTERNATIVE,"Tuna, Yellowfin Ahi, Canned Light Tuna, Maguro, Tuna",Trolling lines,East Atlantic Ocean (Atlantic stock),2.656
65,Tuna,GOOD ALTERNATIVE,"Tuna, Yellowfin Ahi, Canned Light Tuna, Maguro, Tuna",Unassociated purse seine (non-FAD),East Atlantic Ocean (Atlantic stock),2.656
66,Tuna,GOOD ALTERNATIVE,"Tuna, Yellowfin Ahi, Canned Light Tuna, Maguro, Tuna",Trolling lines,East Pacific Ocean,3.0380000000000003
67,Tuna,AVOID,"Tuna, Albacore Canned White Tuna, Germon, Longfinned Tuna, Maguro, Tombo, Tombo Ahi, Tuna",Drifting longlines,North Pacific Ocean,2.0180000000000002
68,Tuna,AVOID,"Tuna, Albacore Canned White Tuna, Germon, Longfinned Tuna, Maguro, Tombo, Tombo Ahi, Tuna",Drifting longlines,Southeast Atlantic Ocean (South Atlantic stock),1.9180000000000001
69,Tuna,AVOID,"Tuna, Albacore Canned White Tuna, Germon, Longfinned Tuna, Maguro, Tombo, Tombo Ahi, Tuna",Drifting longlines,Canada - Atlantic Ocean (North Atlantic stock),2.097
70,Tuna,AVOID,"Tuna, Albacore Canned White Tuna, Germon, Longfinned Tuna, Maguro, Tombo, Tombo Ahi, Tuna",Longline (deep-set),Indian Ocean (Albacore fishery),2.455
71,Tuna,AVOID,"Tuna, Albacore Canned White Tuna, Germon, Longfinned Tuna, Maguro, Tombo, Tombo Ahi, Tuna",Drifting longlines,Mediterranean (Mediterranean stock),1.7
72,Tuna,AVOID,"Tuna, Albacore Canned White Tuna, Germon, Longfinned Tuna, Maguro, Tombo, Tombo Ahi, Tuna",Drifting longlines,Northwest Atlantic Ocean (North Atlantic stock/management unit; excluding U.S.-caught),1.994
73,Tuna,AVOID,"Tuna, Albacore Canned White Tuna, Germon, Longfinned Tuna, Maguro, Tombo, Tombo Ahi, Tuna",Drifting longlines,South Pacific Ocean,2.0180000000000002
74,Tuna,AVOID,"Tuna, Albacore Canned White Tuna, Germon, Longfinned Tuna, Maguro, Tombo, Tombo Ahi, Tuna",Drifting longlines,Southwest Atlantic Ocean (South Atlantic stock),1.9180000000000001
75,Tuna,AVOID,"Tuna, Albacore Canned White Tuna, Germon, Longfinned Tuna, Maguro, Tombo, Tombo Ahi, Tuna",Drifting longlines,Northeast Atlantic Ocean (North Atlantic stock/management unit; excluding U.S.-caught),1.994
76,Tuna,AVOID,"Tuna, Atlantic Bluefin Bluefin Tuna, Giant Bluefin Tuna, Hon Maguro, Maguro, Northern Bluefin Tuna, Toro, Tuna, Tunny",Drifting longlines,Mediterranean (Eastern Atlantic and Mediterranean stock),1.63
77,Tuna,AVOID,"Tuna, Atlantic Bluefin Bluefin Tuna, Giant Bluefin Tuna, Hon Maguro, Maguro, Northern Bluefin Tuna, Toro, Tuna, Tunny",Marine net pen,Mediterranean and Black Sea: Mediterranean Sea,4.42
78,Tuna,AVOID,"Tuna, Atlantic Bluefin Bluefin Tuna, Giant Bluefin Tuna, Hon Maguro, Maguro, Northern Bluefin Tuna, Toro, Tuna, Tunny",Drifting longlines,Canada - Atlantic Ocean (Western Atlantic stock),1.715
79,Tuna,AVOID,"Tuna, Atlantic Bluefin Bluefin Tuna, Giant Bluefin Tuna, Hon Maguro, Maguro, Northern Bluefin Tuna, Toro, Tuna, Tunny",Drifting longlines,Northwest Atlantic Ocean (Western Atlantic stock; excluding U.S.-caught),1.63
80,Tuna,AVOID,"Tuna, Atlantic Bluefin Bluefin Tuna, Giant Bluefin Tuna, Hon Maguro, Maguro, Northern Bluefin Tuna, Toro, Tuna, Tunny",Drifting longlines,Southwest Atlantic Ocean (Western Atlantic stock; excluding U.S.-caught),1.63
81,Tuna,AVOID,"Tuna, Bigeye Ahi, Maguro, Tuna",Floating object purse seine (FAD),East Atlantic Ocean (Atlantic stock),1.402
82,Tuna,AVOID,"Tuna, Bigeye Ahi, Maguro, Tuna",Drifting longlines,East Pacific Ocean,2.063
83,Tuna,AVOID,"Tuna, Bigeye Ahi, Maguro, Tuna",Floating object purse seine (FAD),Indian Ocean,2.224
84,Tuna,AVOID,"Tuna, Bigeye Ahi, Maguro, Tuna",Floating object purse seine (FAD),Western and Central Pacific Ocean,1.9180000000000001
85,Tuna,AVOID,"Tuna, Bigeye Ahi, Maguro, Tuna",Drifting longlines,Western and Central Pacific Ocean,2.0180000000000002
86,Tuna,AVOID,"Tuna, Bigeye Ahi, Maguro, Tuna",Drifting longlines,Sri Lanka - Indian Ocean,2.375
87,Tuna,AVOID,"Tuna, Bigeye Ahi, Maguro, Tuna",Drifting longlines,Southern Indian Ocean (Bluefin fishery),2.6239999999999997
88,Tuna,AVOID,"Tuna, Bigeye Ahi, Maguro, Tuna",Drifting longlines,Indian Ocean (Tropical tuna fishery),2.406
89,Tuna,AVOID,"Tuna, Bigeye Ahi, Maguro, Tuna",Drifting longlines,Canada - Atlantic Ocean (Atlantic stock),1.402
90,Tuna,AVOID,"Tuna, Bigeye Ahi, Maguro, Tuna",Drifting longlines,Northwest Atlantic Ocean (Atlantic stock),1.3330000000000002
91,Tuna,AVOID,"Tuna, Bigeye Ahi, Maguro, Tuna",Drifting longlines,Northeast Atlantic Ocean (Atlantic stock),1.3330000000000002
92,Tuna,AVOID,"Tuna, Bigeye Ahi, Maguro, Tuna",Drifting longlines,U.S. - Atlantic Ocean (Atlantic stock),1.8459999999999999
93,Tuna,AVOID,"Tuna, Bigeye Ahi, Maguro, Tuna",Drifting longlines,Southwest Atlantic Ocean (Atlantic stock),1.3330000000000002
94,Tuna,AVOID,"Tuna, Bigeye Ahi, Maguro, Tuna",Drifting longlines,Southeast Atlantic Ocean (Atlantic stock),1.3330000000000002
95,Tuna,AVOID,"Tuna, Bigeye Ahi, Maguro, Tuna",Floating object purse seine (FAD),West Atlantic Ocean (Atlantic stock),1.402
96,Tuna,AVOID,"Tuna, Bigeye Ahi, Maguro, Tuna",Floating object purse seine (FAD),East Pacific Ocean,1.663
97,Tuna,AVOID,"Tuna, Blackfin Deep-Bodied Tunny, Maguro, Tuna",Floating object purse seine (FAD),Atlantic Ocean,1.788
98,Tuna,AVOID,"Tuna, Longtail Oriental Bonito, Maguro, Tongol Tuna, Tuna",Unassociated purse seine (non-FAD),Malaysia - Indian Ocean,2.7739999999999996
99,Tuna,AVOID,"Tuna, Longtail Oriental Bonito, Maguro, Tongol Tuna, Tuna",Drift gillnets,Indonesia - Indian Ocean,0.0
100,Tuna,AVOID,"Tuna, Longtail Oriental Bonito, Maguro, Tongol Tuna, Tuna",Hand-operated pole-and-lines,Indonesia - Indian Ocean,2.966
101,Tuna,AVOID,"Tuna, Longtail Oriental Bonito, Maguro, Tongol Tuna, Tuna",Unassociated purse seine (non-FAD),Thailand - Indian Ocean,2.528
102,Tuna,AVOID,"Tuna, Longtail Oriental Bonito, Maguro, Tongol Tuna, Tuna",Drift gillnets,Indonesia - Western Central Pacific Ocean,0.0
